ID,Name,Shareholding,Percentage,CumulativePercentage
B01356,DELTA ASIA SECURITIES LTD,113785,0.00%,83.48%
B01173,RIFA SECURITIES LTD,112500,0.00%,83.49%
B01563,XINKONG INTERNATIONAL SECURITIES LTD,110500,0.00%,83.50%
B01289,SOUTH CHINA SECURITIES LTD,110000,0.00%,83.50%
B01438,KINGSTON SECURITIES LTD,110000,0.00%,83.51%
B01433,HING WAI ALLIED SECURITIES LTD,106250,0.00%,83.51%
B02032,FORTHRIGHT SECURITIES CO LTD,102000,0.00%,83.52%
B01123,HING WONG SECURITIES LTD,100000,0.00%,83.52%
B01328,BAN HIN SECURITIES CO LTD,100000,0.00%,83.53%
B01483,BULLISH SECURITIES LTD,100000,0.00%,83.53%
B01665,WINSOME STOCK CO LTD,100000,0.00%,83.54%
B01974,ARISTO SECURITIES LTD,100000,0.00%,83.55%
B01929,CHINA GALAXY INTERNATIONAL SECURITIES,96000,0.00%,83.55%
B01338,EMPEROR SECURITIES LTD,95000,0.00%,83.56%
B01552,CARRIER STOCK INVESTMENT CO LTD,90250,0.00%,83.56%
B01373,CHRISTFUND SECURITIES LTD,89000,0.00%,83.57%
B01724,RAMON INVESTMENT CO LTD,88750,0.00%,83.57%
B01224,MERRILL LYNCH FAR EAST LTD,88000,0.00%,83.58%
B01425,WELLFULL SECURITIES CO LTD,87260,0.00%,83.58%
B01809,CHINA SYSTEM SECURITIES LTD,84000,0.00%,83.58%
B01318,OKASAN INTERNATIONAL (ASIA) LTD,76000,0.00%,83.59%
B01759,WINLAND WEALTH MANAGEMENT LTD,70000,0.00%,83.59%
B01298,GET NICE SECURITIES LTD,62426,0.00%,83.60%
B01158,SOLID KING SECURITIES LTD,60000,0.00%,83.60%
B01272,FB SECURITIES (HONG KONG) LTD,60000,0.00%,83.60%
B01481,NEW REGION SECURITIES CO LTD,60000,0.00%,83.61%
B01787,SOO PUI CHEN SECURITIES LTD,60000,0.00%,83.61%
B01416,VC BROKERAGE LTD,57500,0.00%,83.61%
B01511,TAT LEE SECURITIES CO LTD,56000,0.00%,83.62%
B01680,SUCCESS SECURITIES LTD,50000,0.00%,83.62%
B01788,SUNRISE SECURITIES LTD,50000,0.00%,83.62%
B01816,CHEONG LEE SECURITIES LTD,50000,0.00%,83.62%
C00016,DBS BANK LTD,50000,0.00%,83.63%
B01885,HAFOO SECURITIES LTD,46000,0.00%,83.63%
B01858,YUANTA SECURITIES (HONG KONG) CO LTD,44000,0.00%,83.63%
B01567,PRIME SECURITIES LTD,40000,0.00%,83.63%
B01209,MASON SECURITIES LTD,36300,0.00%,83.63%
B01964,HALCYON SECURITIES LTD,36000,0.00%,83.64%
B01230,GAOYU SECURITIES LIMITED,34000,0.00%,83.64%
B01256,SINOLINK SECURITIES (HONG KONG) CO LTD,30000,0.00%,83.64%
B01271,HANG TAI SECURITIES LTD,30000,0.00%,83.64%
B01450,DL BROKERAGE LTD,30000,0.00%,83.64%
B01789,HO FUNG SHARES INVESTMENT LTD,30000,0.00%,83.65%
B01470,HUNG SING SECURITIES LTD,28000,0.00%,83.65%
B01900,ORIENT SECURITIES (HONG KONG) LTD,28000,0.00%,83.65%
B01947,FUBON SECURITIES (HONG KONG) LTD,26000,0.00%,83.65%
B01407,WIN WONG SECURITIES LTD,24200,0.00%,83.65%
B01161,UBS SECURITIES HONG KONG LTD,24000,0.00%,83.65%
B01615,KAM FAI SECURITIES CO LTD,23750,0.00%,83.65%
B01340,LEHIN SECURITIES LTD,22224,0.00%,83.65%
B01875,GUODU SECURITIES (HONG KONG) LTD,22000,0.00%,83.66%
B02102,ZINVEST GLOBAL LTD,22000,0.00%,83.66%
B01129,WOCOM SECURITIES LTD,20000,0.00%,83.66%
B01267,WINFULL SECURITIES LTD,20000,0.00%,83.66%
B01324,FUNDERSTONE SECURITIES LTD,20000,0.00%,83.66%
B01660,GRANSING SECURITIES CO., LIMITED,20000,0.00%,83.66%
B01684,WANG ON SECURITIES LTD,20000,0.00%,83.66%
B01705,HENIK SECURITIES LTD,20000,0.00%,83.66%
B01751,IMAGI BROKERAGE LTD,20000,0.00%,83.66%
B01753,FORTUNE (HK) SECURITIES LTD,20000,0.00%,83.67%
B01910,FTFT INTERNATIONAL SECURITIES AND,20000,0.00%,83.67%
B01967,YUNFENG SECURITIES LTD,20000,0.00%,83.67%
C00040,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,18000,0.00%,83.67%
B02175,WEBULL SECURITIES LTD,16000,0.00%,83.67%
B01608,OPEN SECURITIES LTD,12100,0.00%,83.67%
