ID,Name,ShareholdingDecimal,Percentage,CumulativePercentage
C00018,HANG SENG BANK LTD,588223521,31.84%,31.84%
C00010,CITIBANK N.A.,361405262,19.56%,51.41%
B01086,EVERBRIGHT SECURITIES INVESTMENT,346426715,18.75%,70.16%
B02180,PLUTUS SECURITIES LTD,55848000,3.02%,73.18%
C00019,THE HONGKONG AND SHANGHAI BANKING,20965595,1.13%,74.32%
B01353,UOB KAY HIAN (HONG KONG) LTD,19010000,1.02%,75.35%
C00033,BANK OF CHINA (HONG KONG) LTD,16014086,0.86%,76.21%
B01284,HANG SENG SECURITIES LTD,15112782,0.81%,77.03%
B01842,BOCOM INTERNATIONAL SECURITIES LTD,12996300,0.70%,77.74%
B01130,BOCI SECURITIES LTD,9795500,0.53%,78.27%
B01894,MFG LIMITED,8680000,0.46%,78.74%
C00002,BANK OF COMMUNICATIONS TRUSTEE LTD,7046701,0.38%,79.12%
B01584,CHIEF SECURITIES LTD,5845523,0.31%,79.43%
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,5750497,0.31%,79.75%
B01198,PO KAY SECURITIES & SHARES CO LTD,5668350,0.30%,80.05%
B01623,TAI FUNG KUENTAI SECURITIES CO LTD,4650200,0.25%,80.30%
B01955,FUTU SECURITIES INTERNATIONAL,4644000,0.25%,80.56%
B01727,ICBC (ASIA) SECURITIES LTD,3981040,0.21%,80.77%
B01590,INTERACTIVE BROKERS HONG KONG LTD,3948000,0.21%,80.99%
B01668,BRIGHT SMART SECURITIES INTERNATIONAL,3783515,0.20%,81.19%
B01228,CITIC SECURITIES BROKERAGE (HK) LTD,3172400,0.17%,81.36%
C00028,NANYANG COMMERCIAL BANK LTD,2754027,0.14%,81.51%
C00015,DBS BANK (HONG KONG) LTD,2721363,0.14%,81.66%
B01183,CHONG HING SECURITIES LTD,2212000,0.11%,81.78%
B01345,PHILLIP SECURITIES (HONG KONG) LTD,2206300,0.11%,81.90%
C00036,CHINA CONSTRUCTION BANK (ASIA),1923750,0.10%,82.00%
B01685,ARK SECURITIES (HONG KONG) LTD,1551500,0.08%,82.09%
B01686,FIRST SHANGHAI SECURITIES LTD,1452000,0.07%,82.16%
C00058,CHINA CITIC BANK INTERNATIONAL LTD,1439530,0.07%,82.24%
B01890,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,1312000,0.07%,82.31%
C00042,CMB WING LUNG BANK LTD,1248000,0.06%,82.38%
C00048,CHIYU BANKING CORPORATION LTD,1246201,0.06%,82.45%
B01118,EAST ASIA SECURITIES CO LTD,1164825,0.06%,82.51%
B01695,DAH SING SECURITIES LTD,1110400,0.06%,82.57%
B01462,MANGO FINANCIAL LTD,887081,0.04%,82.62%
B01556,LUK FOOK SECURITIES (HK) LTD,879800,0.04%,82.67%
B01184,QUAM SECURITIES LTD,750000,0.04%,82.71%
B01829,HUATAI FINANCIAL HOLDINGS (HONG KONG),738000,0.03%,82.75%
