ID,Name,ShareholdingDecimal,Percentage,CumulativePercentage
B01161,UBS SECURITIES HONG KONG LTD,4531147,30.40%,30.41%
B01649,CINDA INTERNATIONAL SECURITIES LTD,3660860,24.56%,54.98%
B01937,CHANGJIANG SECURITIES BROKERAGE (HK) LTD,897241,6.02%,61.00%
C00019,THE HONGKONG AND SHANGHAI BANKING,798696,5.36%,66.36%
C00033,BANK OF CHINA (HONG KONG) LTD,524965,3.52%,69.88%
C00037,SHANGHAI COMMERCIAL BANK LTD,314365,2.10%,71.99%
B01284,HANG SENG SECURITIES LTD,247449,1.66%,73.65%
B01148,CHINA MERCHANTS SECURITIES (HK) CO LTD,218043,1.46%,75.12%
C00003,THE BANK OF EAST ASIA LTD,206475,1.38%,76.50%
B01256,SINOLINK SECURITIES (HONG KONG) CO LTD,187347,1.25%,77.76%
B01584,CHIEF SECURITIES LTD,184095,1.23%,79.00%
C00048,CHIYU BANKING CORPORATION LTD,183134,1.22%,80.22%
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,154081,1.03%,81.26%
C00058,CHINA CITIC BANK INTERNATIONAL LTD,149745,1.00%,82.26%
B01700,REALINK FINANCIAL TRADE LTD,143450,0.96%,83.23%
C00010,CITIBANK N.A.,128478,0.86%,84.09%
B01955,FUTU SECURITIES INTERNATIONAL,101538,0.68%,84.77%
B01668,BRIGHT SMART SECURITIES INTERNATIONAL,98423,0.66%,85.43%
B01130,BOCI SECURITIES LTD,98208,0.65%,86.09%
B01826,GF SECURITIES (HONG KONG) BROKERAGE LTD,96655,0.64%,86.74%
C00088,CHINA MERCHANTS BANK CO LTD,92430,0.62%,87.36%
B01727,ICBC (ASIA) SECURITIES LTD,91250,0.61%,87.97%
C00002,BANK OF COMMUNICATIONS TRUSTEE LTD,79851,0.53%,88.51%
C00041,OCBC BANK (HONG KONG) LTD,79095,0.53%,89.04%
B01143,HAITONG INTERNATIONAL SECURITIES CO LTD,71555,0.48%,89.52%
C00093,BNP PARIBAS,67863,0.45%,89.97%
B01901,CMB INTERNATIONAL SECURITIES LTD,67065,0.45%,90.42%
B01842,BOCOM INTERNATIONAL SECURITIES LTD,60990,0.40%,90.83%
B01623,TAI FUNG KUENTAI SECURITIES CO LTD,56220,0.37%,91.21%
B01814,WELL LINK SECURITIES LTD,50110,0.33%,91.55%
C00036,CHINA CONSTRUCTION BANK (ASIA),41715,0.27%,91.83%
B01900,ORIENT SECURITIES (HONG KONG) LTD,36565,0.24%,92.07%
B01497,SINOPAC SECURITIES (ASIA) LTD,33395,0.22%,92.30%
B01086,EVERBRIGHT SECURITIES INVESTMENT,33254,0.22%,92.52%
C00015,DBS BANK (HONG KONG) LTD,29551,0.19%,92.72%
B01590,INTERACTIVE BROKERS HONG KONG LTD,27395,0.18%,92.90%
B01345,PHILLIP SECURITIES (HONG KONG) LTD,26604,0.17%,93.08%
