ID,Name,ShareholdingDecimal,Percentage,CumulativePercentage
B01939,SOOCHOW SECURITIES INTERNATIONAL,774799142,23.09%,23.09%
C00010,CITIBANK N.A.,221381468,6.59%,29.69%
B01955,FUTU SECURITIES INTERNATIONAL,168027117,5.00%,34.70%
C00033,BANK OF CHINA (HONG KONG) LTD,146763000,4.37%,39.07%
C00019,THE HONGKONG AND SHANGHAI BANKING,134587596,4.01%,43.08%
C00042,CMB WING LUNG BANK LTD,111028000,3.30%,46.39%
C00016,DBS BANK LTD,91001000,2.71%,49.11%
B01686,FIRST SHANGHAI SECURITIES LTD,85066000,2.53%,51.64%
B02102,ZINVEST GLOBAL LTD,58680000,1.74%,53.39%
B01948,CAITONG INTERNATIONAL SECURITIES CO LTD,54820000,1.63%,55.02%
B01161,UBS SECURITIES HONG KONG LTD,48933000,1.45%,56.48%
B01284,HANG SENG SECURITIES LTD,43828500,1.30%,57.79%
C00018,HANG SENG BANK LTD,42583000,1.26%,59.06%
B01143,HAITONG INTERNATIONAL SECURITIES CO LTD,40150000,1.19%,60.26%
B01514,KARL-THOMSON SECURITIES CO LTD,35621185,1.06%,61.32%
B01565,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,33781000,1.00%,62.32%
B01130,BOCI SECURITIES LTD,32354000,0.96%,63.29%
B01753,FORTUNE (HK) SECURITIES LTD,30000000,0.89%,64.18%
B01584,CHIEF SECURITIES LTD,27184000,0.81%,64.99%
B01842,BOCOM INTERNATIONAL SECURITIES LTD,26609000,0.79%,65.79%
B01115,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,25246000,0.75%,66.54%
B01668,BRIGHT SMART SECURITIES INTERNATIONAL,22393500,0.66%,67.21%
B01998,CHINA SUNRISE SECURITIES (INTL) LTD,20080356,0.59%,67.80%
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,19078500,0.56%,68.37%
B01338,EMPEROR SECURITIES LTD,17239000,0.51%,68.89%
C00058,CHINA CITIC BANK INTERNATIONAL LTD,16572000,0.49%,69.38%
B01610,KGI ASIA LTD,15059000,0.44%,69.83%
B01184,QUAM SECURITIES LTD,14256557,0.42%,70.25%
B01353,UOB KAY HIAN (HONG KONG) LTD,14151000,0.42%,70.68%
B01119,CELESTIAL SECURITIES LTD,13293000,0.39%,71.07%
B01289,SOUTH CHINA SECURITIES LTD,10827000,0.32%,71.39%
B01904,VALUABLE CAPITAL LTD,10498000,0.31%,71.71%
B01275,SANFULL SECURITIES LTD,10330000,0.30%,72.02%
B01590,INTERACTIVE BROKERS HONG KONG LTD,9792000,0.29%,72.31%
B01272,FB SECURITIES (HONG KONG) LTD,9076000,0.27%,72.58%
B01727,ICBC (ASIA) SECURITIES LTD,7037500,0.20%,72.79%
C00088,CHINA MERCHANTS BANK CO LTD,6517000,0.19%,72.98%
B01224,MERRILL LYNCH FAR EAST LTD,6475182,0.19%,73.17%
C00036,CHINA CONSTRUCTION BANK (ASIA),6210000,0.18%,73.36%
B01695,DAH SING SECURITIES LTD,6072000,0.18%,73.54%
B01762,DBS VICKERS (HONG KONG) LTD,6024000,0.17%,73.72%
B01389,ZHONGRONG PT SECURITIES LTD,5750000,0.17%,73.89%
C00003,THE BANK OF EAST ASIA LTD,5491000,0.16%,74.06%
B01929,CHINA GALAXY INTERNATIONAL SECURITIES,5044000,0.15%,74.21%
C00037,SHANGHAI COMMERCIAL BANK LTD,4914000,0.14%,74.35%
C00015,DBS BANK (HONG KONG) LTD,4742000,0.14%,74.49%
B01345,PHILLIP SECURITIES (HONG KONG) LTD,4451000,0.13%,74.63%
B01148,CHINA MERCHANTS SECURITIES (HK) CO LTD,4307000,0.12%,74.75%
C00028,NANYANG COMMERCIAL BANK LTD,4302000,0.12%,74.88%
C00048,CHIYU BANKING CORPORATION LTD,4266000,0.12%,75.01%
B01971,HGNH INTERNATIONAL SECURITIES CO LTD,4231000,0.12%,75.14%
B01183,CHONG HING SECURITIES LTD,4228000,0.12%,75.26%
B02142,TIGER BROKERS (HK) GLOBAL LTD,4225000,0.12%,75.39%
C00002,BANK OF COMMUNICATIONS TRUSTEE LTD,4184000,0.12%,75.51%
B01581,KINGSWAY FINANCIAL SERVICES GROUP LTD,3952000,0.11%,75.63%
B01660,"GRANSING SECURITIES CO., LIMITED",3952000,0.11%,75.75%
B01470,HUNG SING SECURITIES LTD,3870000,0.11%,75.86%
B01089,HSBC BROKING SECURITIES (HONG KONG) LTD,3553000,0.10%,75.97%
B01853,CMBC SECURITIES CO LTD,3305000,0.09%,76.07%
B01773,TOYO SECURITIES ASIA LTD,3000000,0.08%,76.16%
B01901,CMB INTERNATIONAL SECURITIES LTD,2510000,0.07%,76.23%
B01826,GF SECURITIES (HONG KONG) BROKERAGE LTD,2275000,0.06%,76.30%
B01511,TAT LEE SECURITIES CO LTD,2210000,0.06%,76.37%
B01947,FUBON SECURITIES (HONG KONG) LTD,2167000,0.06%,76.43%
B01118,EAST ASIA SECURITIES CO LTD,2078000,0.06%,76.49%
B01086,EVERBRIGHT SECURITIES INVESTMENT,2068000,0.06%,76.55%
B01673,FULBRIGHT SECURITIES LTD,2004000,0.05%,76.61%
C00041,OCBC BANK (HONG KONG) LTD,1830000,0.05%,76.67%
B01957,PINESTONE SECURITIES LTD,1768000,0.05%,76.72%
B01885,HAFOO SECURITIES LTD,1663000,0.04%,76.77%
B01416,VC BROKERAGE LTD,1551000,0.04%,76.82%
B01938,CHINA INDUSTRIAL SECURITIES,1515000,0.04%,76.86%
B01438,KINGSTON SECURITIES LTD,1440000,0.04%,76.90%
B01228,CITIC SECURITIES BROKERAGE (HK) LTD,1436000,0.04%,76.95%
B01858,YUANTA SECURITIES (HONG KONG) CO LTD,1382000,0.04%,76.99%
B01623,TAI FUNG KUENTAI SECURITIES CO LTD,1310000,0.03%,77.03%
B01169,PUBLIC FINANCIAL SECURITIES LTD,1190000,0.03%,77.06%
B01138,CLSA LTD,1189000,0.03%,77.10%
B01265,OCBC SECURITIES BROKERAGE (HK) LTD,1050000,0.03%,77.13%
B01825,GUOYUAN SECURITIES BROKERAGE (HONG KONG),962744,0.02%,77.16%
B01649,CINDA INTERNATIONAL SECURITIES LTD,930000,0.02%,77.19%
C00093,BNP PARIBAS,883000,0.02%,77.21%
B01962,CHINA SECURITIES (INTERNATIONAL),850000,0.02%,77.24%
B01298,GET NICE SECURITIES LTD,756000,0.02%,77.26%
B01497,SINOPAC SECURITIES (ASIA) LTD,663000,0.01%,77.28%
B01459,IFAST SECURITIES (HK) LTD,647000,0.01%,77.30%
B01813,CCB INTERNATIONAL SECURITIES LTD,628000,0.01%,77.32%
B01158,SOLID KING SECURITIES LTD,609000,0.01%,77.34%
B01551,YUE XIU SECURITIES CO LTD,603000,0.01%,77.35%
B02132,BOOM SECURITIES (H.K.) LTD,600000,0.01%,77.37%
B01890,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,595500,0.01%,77.39%
B01615,KAM FAI SECURITIES CO LTD,590000,0.01%,77.41%
B01814,WELL LINK SECURITIES LTD,562000,0.01%,77.42%
B01181,FOSUN INTERNATIONAL SECURITIES LTD,521000,0.01%,77.44%
B01905,SDIC SECURITIES (HONG KONG) LTD,485000,0.01%,77.45%
B01423,PRUDENTIAL BROKERAGE LTD,408125,0.01%,77.47%
B01469,KAISER SECURITIES LTD,400000,0.01%,77.48%
B01857,KAISA FINANCIAL GROUP CO LTD,354000,0.01%,77.49%
B02116,MOUETTE SECURITIES CO LTD,350000,0.01%,77.50%
B01963,TFI SECURITIES AND FUTURES LTD,344000,0.01%,77.51%
B01900,ORIENT SECURITIES (HONG KONG) LTD,321000,0.00%,77.52%
B01875,GUODU SECURITIES (HONG KONG) LTD,311000,0.00%,77.53%
