ID,Name,ShareholdingDecimal,Percentage,CumulativePercentage
C00019,THE HONGKONG AND SHANGHAI BANKING,530033532,17.32%,17.33%
C00010,CITIBANK N.A.,450807600,14.73%,32.06%
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,273834619,8.95%,41.02%
B01161,UBS SECURITIES HONG KONG LTD,234695258,7.67%,48.69%
C00093,BNP PARIBAS,122755185,4.01%,52.70%
B01673,FULBRIGHT SECURITIES LTD,101743021,3.32%,56.03%
C00033,BANK OF CHINA (HONG KONG) LTD,85777802,2.80%,58.83%
B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,62439299,2.04%,60.87%
B01590,INTERACTIVE BROKERS HONG KONG LTD,37339566,1.22%,62.09%
C00042,CMB WING LUNG BANK LTD,32867982,1.07%,63.17%
C00016,DBS BANK LTD,31698917,1.03%,64.20%
C00018,HANG SENG BANK LTD,23071751,0.75%,64.96%
B01497,SINOPAC SECURITIES (ASIA) LTD,18305778,0.59%,65.56%
B01955,FUTU SECURITIES INTERNATIONAL,17743639,0.58%,66.14%
B01668,BRIGHT SMART SECURITIES INTERNATIONAL,17094687,0.55%,66.69%
C00041,OCBC BANK (HONG KONG) LTD,16611099,0.54%,67.24%
C00074,DEUTSCHE BANK AG,14876714,0.48%,67.72%
B01347,CGS INTERNATIONAL SECURITIES HK LTD,14321774,0.46%,68.19%
B01284,HANG SENG SECURITIES LTD,11783026,0.38%,68.58%
B01130,BOCI SECURITIES LTD,9972425,0.32%,68.90%
C00002,BANK OF COMMUNICATIONS TRUSTEE LTD,9177726,0.30%,69.20%
B01345,PHILLIP SECURITIES (HONG KONG) LTD,8191347,0.26%,69.47%
C00028,NANYANG COMMERCIAL BANK LTD,7694154,0.25%,69.72%
B01584,CHIEF SECURITIES LTD,6073390,0.19%,69.92%
B01353,UOB KAY HIAN (HONG KONG) LTD,5931827,0.19%,70.11%
B01086,EVERBRIGHT SECURITIES INVESTMENT,5003159,0.16%,70.28%
B01610,KGI ASIA LTD,4899778,0.16%,70.44%
C00015,DBS BANK (HONG KONG) LTD,4400217,0.14%,70.58%
C00036,CHINA CONSTRUCTION BANK (ASIA),4367902,0.14%,70.73%
B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,4318367,0.14%,70.87%
C00037,SHANGHAI COMMERCIAL BANK LTD,4070804,0.13%,71.00%
B01695,DAH SING SECURITIES LTD,3684592,0.12%,71.12%
B01228,CITIC SECURITIES BROKERAGE (HK) LTD,3564415,0.11%,71.24%
B01118,EAST ASIA SECURITIES CO LTD,3473964,0.11%,71.35%
B01565,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,2814022,0.09%,71.44%
B01842,BOCOM INTERNATIONAL SECURITIES LTD,2770726,0.09%,71.53%
B01340,LEHIN SECURITIES LTD,2679058,0.08%,71.62%
B01762,DBS VICKERS (HONG KONG) LTD,2583763,0.08%,71.70%
B01183,CHONG HING SECURITIES LTD,2418224,0.07%,71.78%
B01727,ICBC (ASIA) SECURITIES LTD,2402264,0.07%,71.86%
C00003,THE BANK OF EAST ASIA LTD,1811633,0.05%,71.92%
B01373,CHRISTFUND SECURITIES LTD,1603249,0.05%,71.97%
B01450,DL BROKERAGE LTD,1602200,0.05%,72.03%
C00040,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,1597237,0.05%,72.08%
B01143,HAITONG INTERNATIONAL SECURITIES CO LTD,1590262,0.05%,72.13%
C00048,CHIYU BANKING CORPORATION LTD,1530468,0.05%,72.18%
B01290,SPS SECURITIES LTD,1254851,0.04%,72.22%
