StockCode,StockName
00138,CCT FORTIS HOLDINGS LIMITED
00139,SMART FISH WEALTHLINK HOLDINGS LIMITED
00142,FIRST PACIFIC CO. LTD.
00144,CHINA MERCHANTS PORT HOLDINGS COMPANY LIMITED
00145,CCIAM FUTURE ENERGY LIMITED
00146,TAI PING CARPETS INTERNATIONAL LTD
00147,INTERNATIONAL BUSINESS SETTLEMENT HOLDINGS LIMITED
00148,KINGBOARD HOLDINGS LIMITED
00149,CHINA AGRI-PRODUCTS EXCHANGE LIMITED
00150,HYPEBEAST LIMITED
00151,WANT WANT CHINA HOLDINGS LIMITED
00152,SHENZHEN INTERNATIONAL HOLDINGS LIMITED
00154,BEIJING ENTERPRISES ENVIRONMENT GROUP LIMITED
00156,LIPPO CHINA RESOURCES LIMITED
00157,NATURAL BEAUTY BIO-TECHNOLOGY LIMITED
00158,MELBOURNE ENTERPRISES LTD.
00159,BROCKMAN MINING LIMITED
00160,"HON KWOK LAND INVESTMENT COMPANY,LIMITED"
00162,CENTURY GINWA RETAIL HOLDINGS LIMITED
00163,EMPEROR INTERNATIONAL HOLDINGS LIMITED
00164,CHINA BAOLI TECHNOLOGIES HOLDINGS LIMITED
00165,CHINA EVERBRIGHT LIMITED
00166,NEW TIMES CORPORATION LIMITED
00167,IDT INTERNATIONAL LIMITED
00168,TSINGTAO BREWERY COMPANY LIMITED
00169,WANDA HOTEL DEVELOPMENT COMPANY LIMITED
00171,SILVER GRANT INTERNATIONAL HOLDINGS GROUP LIMITED
00173,K. WAH INTERNATIONAL HOLDINGS LIMITED
00174,GEMINI INVESTMENTS (HOLDINGS) LIMITED
00175,GEELY AUTOMOBILE HOLDINGS LIMITED -HKD TRADED SHARES
00176,SUPERACTIVE GROUP COMPANY LIMITED
00177,JIANGSU EXPRESSWAY COMPANY LIMITED
00178,SA SA INTERNATIONAL HOLDINGS LIMITED
00179,JOHNSON ELECTRIC HOLDINGS LIMITED
00180,KADER HOLDINGS CO. LTD
00181,FUJIAN HOLDINGS LIMITED
00182,CONCORD NEW ENERGY GROUP LIMITED
00183,WINFULL GROUP HOLDINGS LIMITED
00184,KECK SENG INVESTMENTS (HONG KONG) LTD
00185,ZENSUN ENTERPRISES LIMITED
00186,NIMBLE HOLDINGS COMPANY LIMITED
00187,BEIJING JINGCHENG MACHINERY ELECTRIC COMPANY LIMITED
00188,SUNWAH KINGSWAY CAPITAL HOLDINGS LIMITED
00189,DONGYUE GROUP LIMITED
00191,LAI SUN GARMENT (INTERNATIONAL) LIMITED
00193,CAPITAL ESTATE LIMITED
00194,LIU CHONG HING INVESTMENT LTD
00195,GREENTECH TECHNOLOGY INTERNATIONAL LIMITED
00196,HONGHUA GROUP LIMITED
00197,HENG TAI CONSUMABLES GROUP LIMITED
00199,ITC PROPERTIES GROUP LIMITED
00200,MELCO INTERNATIONAL DEVELOPMENT LIMITED
00201,MAGNIFICENT HOTEL INVESTMENTS LIMITED
00202,EVERCHINA INT'L HOLDINGS COMPANY LIMITED
00204,CAPITAL REALM FINANCIAL HOLDINGS GROUP LIMITED
00205,BFB HEALTH LIMITED
00206,"CM ENERGY TECH CO., LTD."
00209,POLY XVERSE INTELLIGENT TECHNOLOGY CO. LTD
00210,DAPHNE INTERNATIONAL HOLDINGS LIMITED
00211,STYLAND HOLDINGS LIMITED
00212,NANYANG HOLDINGS LIMITED
00213,NATIONAL ELECTRONICS HOLDINGS LTD
00214,ASIA ORIENT HOLDINGS LIMITED
00215,HUTCHISON TELECOMMUNICATIONS HONG KONG HOLDINGS LIMITED
00216,CHINNEY INVESTMENTS LTD
00217,CHINA CHENGTONG DEVELOPMENT GROUP LIMITED
00218,SHENWAN HONGYUAN (H.K.) LIMITED
00219,SHUN HO PROPERTY INVESTMENTS LIMITED
00220,UNI-PRESIDENT CHINA HOLDINGS LTD.
00222,MIN XIN HOLDINGS LIMITED
00223,ELIFE HOLDINGS LIMITED
00224,PIONEER GLOBAL GROUP LIMITED
00225,POKFULAM DEVELOPMENT CO. LTD
00227,FIRST SHANGHAI INVESTMENTS LIMITED
00228,CHINA ENERGY DEVELOPMENT HOLDINGS LTD
00229,RAYMOND INDUSTRIAL LIMITED
00232,CONTINENTAL AEROSPACE TECHNOLOGIES HOLDING LIMITED
00234,NEW CENTURY GROUP HONG KONG LIMITED
00235,CSC HOLDINGS LIMITED
00236,SAN MIGUEL BREWERY HONG KONG LIMITED
00237,SAFETY GODOWN CO. LTD
00239,PAK FAH YEOW INTERNATIONAL LIMITED
00240,BUILD KING HOLDINGS LIMITED
00241,ALIBABA HEALTH INFORMATION TECHNOLOGY LIMITED
00242,SHUN TAK HOLDINGS LIMITED
00243,QPL INTERNATIONAL HOLDINGS LIMITED
00244,"THE SINCERE COMPANY, LIMITED"
00245,CHINA VERED FINANCIAL HOLDING CORPORATION LIMITED
00247,TSIM SHA TSUI PROPERTIES LTD
00248,HKC INTERNATIONAL HOLDINGS LIMITED
00251,SEA HOLDINGS LIMITED
00252,SOUTHEAST ASIA PROPERTIES & FINANCE LTD
00253,SHUN HO HOLDINGS LIMITED
00254,NATIONAL UNITED RESOURCES HOLDINGS LIMITED
00255,LUNG KEE GROUP HOLDINGS LIMITED
00256,CITYCHAMP WATCH & JEWELLERY GROUP LIMITED
00257,CHINA EVERBRIGHT ENVIRONMENT GROUP LIMITED
00258,TOMSON GROUP LIMITED
00259,YEEBO (INTERNATIONAL HOLDINGS) LIMITED
00261,GBA HOLDINGS LIMITED
00262,DESON DEVELOPMENT INTERNATIONAL HOLDINGS LIMITED
00264,CHINA INTERNATIONAL DEVELOPMENT CORPORATION LIMITED
00265,GANGYU SMART URBAN SERVICES HOLDING LIMITED
00266,TIAN TECK LAND LTD
00267,CITIC LIMITED
00268,KINGDEE INTERNATIONAL SOFTWARE GROUP COMPANY LIMITED
00269,CHINA RESOURCES AND TRANSPORTATION GROUP LIMITED
00270,GUANGDONG INVESTMENT LIMITED
00271,ASIASEC PROPERTIES LIMITED
00272,SHUI ON LAND LIMITED
00274,RENAISSANCE ASIA SILK ROAD GROUP LIMITED
00276,MONGOLIA ENERGY CORPORATION LIMITED
00277,TERN PROPERTIES CO. LTD
00279,ARTA TECHFIN CORPORATION LIMITED
00280,KING FOOK HOLDINGS LTD
