ID,Name,ShareholdingDecimal,Percentage,CumulativePercentage
A00004,CHINA SECURITIES DEPOSITORY AND CLEARING,149364365,17.12%,17.12%
C00019,THE HONGKONG AND SHANGHAI BANKING,89807466,10.29%,27.42%
A00003,CHINA SECURITIES DEPOSITORY AND CLEARING,81714390,9.36%,36.78%
C00074,DEUTSCHE BANK AG,30852500,3.53%,40.32%
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,18700346,2.14%,42.47%
C00010,CITIBANK N.A.,16734095,1.91%,44.38%
C00033,BANK OF CHINA (HONG KONG) LTD,16209872,1.85%,46.24%
B01762,DBS VICKERS (HONG KONG) LTD,7840595,0.89%,47.14%
B01955,FUTU SECURITIES INTERNATIONAL,7271823,0.83%,47.97%
B01161,UBS SECURITIES HONG KONG LTD,7212755,0.82%,48.80%
B01284,HANG SENG SECURITIES LTD,5985824,0.68%,49.49%
B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,4273816,0.48%,49.98%
B01130,BOCI SECURITIES LTD,2765000,0.31%,50.29%
B01668,BRIGHT SMART SECURITIES INTERNATIONAL,2067500,0.23%,50.53%
B01590,INTERACTIVE BROKERS HONG KONG LTD,2052617,0.23%,50.77%
C00003,THE BANK OF EAST ASIA LTD,1602150,0.18%,50.95%
C00042,CMB WING LUNG BANK LTD,1597800,0.18%,51.13%
B02132,BOOM SECURITIES (H.K.) LTD,1588000,0.18%,51.32%
B01695,DAH SING SECURITIES LTD,1492312,0.17%,51.49%
C00037,SHANGHAI COMMERCIAL BANK LTD,1355500,0.15%,51.64%
B01148,CHINA MERCHANTS SECURITIES (HK) CO LTD,1343000,0.15%,51.80%
B01900,ORIENT SECURITIES (HONG KONG) LTD,1201500,0.13%,51.93%
C00002,BANK OF COMMUNICATIONS TRUSTEE LTD,1156500,0.13%,52.07%
B01727,ICBC (ASIA) SECURITIES LTD,1092500,0.12%,52.19%
C00015,DBS BANK (HONG KONG) LTD,1023810,0.11%,52.31%
C00093,BNP PARIBAS,956351,0.10%,52.42%
B01787,SOO PUI CHEN SECURITIES LTD,882000,0.10%,52.52%
B01556,LUK FOOK SECURITIES (HK) LTD,824500,0.09%,52.61%
B01890,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,818000,0.09%,52.71%
B01938,CHINA INDUSTRIAL SECURITIES,776500,0.08%,52.80%
B01183,CHONG HING SECURITIES LTD,760180,0.08%,52.88%
B01826,GF SECURITIES (HONG KONG) BROKERAGE LTD,728000,0.08%,52.97%
C00028,NANYANG COMMERCIAL BANK LTD,682500,0.07%,53.05%
B01118,EAST ASIA SECURITIES CO LTD,670500,0.07%,53.12%
B01353,UOB KAY HIAN (HONG KONG) LTD,599500,0.06%,53.19%
C00088,CHINA MERCHANTS BANK CO LTD,597000,0.06%,53.26%
B01623,TAI FUNG KUENTAI SECURITIES CO LTD,591000,0.06%,53.33%
B01224,MERRILL LYNCH FAR EAST LTD,542936,0.06%,53.39%
C00036,CHINA CONSTRUCTION BANK (ASIA),519500,0.05%,53.45%
C00058,CHINA CITIC BANK INTERNATIONAL LTD,503500,0.05%,53.51%
C00048,CHIYU BANKING CORPORATION LTD,491000,0.05%,53.56%
B01584,CHIEF SECURITIES LTD,477469,0.05%,53.62%
B01086,EVERBRIGHT SECURITIES INVESTMENT,465200,0.05%,53.67%
B01901,CMB INTERNATIONAL SECURITIES LTD,439500,0.05%,53.72%
B01885,HAFOO SECURITIES LTD,438500,0.05%,53.77%
B01089,HSBC BROKING SECURITIES (HONG KONG) LTD,430159,0.04%,53.82%
C00041,OCBC BANK (HONG KONG) LTD,408000,0.04%,53.87%
B02195,LONG BRIDGE HK LTD,399500,0.04%,53.91%
B01228,CITIC SECURITIES BROKERAGE (HK) LTD,332000,0.03%,53.95%
B01929,CHINA GALAXY INTERNATIONAL SECURITIES,314000,0.03%,53.99%
C00111,SOCIETE GENERALE,305086,0.03%,54.02%
B01565,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,288000,0.03%,54.06%
B01345,PHILLIP SECURITIES (HONG KONG) LTD,279000,0.03%,54.09%
B01184,QUAM SECURITIES LTD,262500,0.03%,54.12%
B01265,OCBC SECURITIES BROKERAGE (HK) LTD,249500,0.02%,54.15%
B01423,PRUDENTIAL BROKERAGE LTD,233490,0.02%,54.17%
B01610,KGI ASIA LTD,230000,0.02%,54.20%
B01829,HUATAI FINANCIAL HOLDINGS (HONG KONG),197000,0.02%,54.22%
B01904,VALUABLE CAPITAL LTD,178500,0.02%,54.24%
B01686,FIRST SHANGHAI SECURITIES LTD,163500,0.01%,54.26%
B01386,SBI CHINA CAPITAL FINANCIAL SERVICES LTD,162000,0.01%,54.28%
B02159,USMART SECURITIES LTD,158000,0.01%,54.30%
B01842,BOCOM INTERNATIONAL SECURITIES LTD,147500,0.01%,54.31%
B01673,FULBRIGHT SECURITIES LTD,138000,0.01%,54.33%
B01115,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,132500,0.01%,54.35%
B01143,HAITONG INTERNATIONAL SECURITIES CO LTD,131000,0.01%,54.36%
B01940,SOFI SECURITIES (HONG KONG) LTD,128000,0.01%,54.38%
B01514,KARL-THOMSON SECURITIES CO LTD,115000,0.01%,54.39%
B02175,WEBULL SECURITIES LTD,114000,0.01%,54.40%
B01963,TFI SECURITIES AND FUTURES LTD,112000,0.01%,54.41%
B01413,CORE PACIFIC - YAMAICHI INTERNATIONAL,108000,0.01%,54.43%
B01119,CELESTIAL SECURITIES LTD,102000,0.01%,54.44%
B01356,DELTA ASIA SECURITIES LTD,96000,0.01%,54.45%
B01497,SINOPAC SECURITIES (ASIA) LTD,93500,0.01%,54.46%
B01275,SANFULL SECURITIES LTD,93000,0.01%,54.47%
B01555,ABN AMRO CLEARING HONG KONG LTD,88126,0.01%,54.48%
B01906,IMPERIUM INTERNATIONAL SECURITIES LTD,86500,0.00%,54.49%
B01169,PUBLIC FINANCIAL SECURITIES LTD,81500,0.00%,54.50%
B02210,ARK GROUP HOLDINGS (HONG KONG) LTD,80000,0.00%,54.51%
B01343,CELETIO INVESTMENTS LTD,78000,0.00%,54.52%
B01825,GUOYUAN SECURITIES BROKERAGE (HONG KONG),72500,0.00%,54.53%
B02142,TIGER BROKERS (HK) GLOBAL LTD,70000,0.00%,54.53%
B02116,MOUETTE SECURITIES CO LTD,68000,0.00%,54.54%
B01389,ZHONGRONG PT SECURITIES LTD,65000,0.00%,54.55%
B01564,ABCI SECURITIES CO LTD,64000,0.00%,54.56%
