ID,Name,ShareholdingDecimal,Percentage,CumulativePercentage
B01734,KCG SECURITIES ASIA LTD,112171180,21.31%,21.31%
B01563,XINKONG INTERNATIONAL SECURITIES LTD,91461344,17.37%,38.69%
B01228,CITIC SECURITIES BROKERAGE (HK) LTD,46554350,8.84%,47.54%
B01901,CMB INTERNATIONAL SECURITIES LTD,32500248,6.17%,53.72%
C00033,BANK OF CHINA (HONG KONG) LTD,27740385,5.27%,58.99%
B01284,HANG SENG SECURITIES LTD,19535965,3.71%,62.70%
B01955,FUTU SECURITIES INTERNATIONAL,17999536,3.42%,66.12%
C00019,THE HONGKONG AND SHANGHAI BANKING,17440588,3.31%,69.43%
B01130,BOCI SECURITIES LTD,15777996,2.99%,72.43%
B01929,CHINA GALAXY INTERNATIONAL SECURITIES,9594150,1.82%,74.26%
B01668,BRIGHT SMART SECURITIES INTERNATIONAL,8875676,1.68%,75.94%
C00036,CHINA CONSTRUCTION BANK (ASIA),8689208,1.65%,77.59%
B01345,PHILLIP SECURITIES (HONG KONG) LTD,8275505,1.57%,79.17%
B01904,VALUABLE CAPITAL LTD,7279250,1.38%,80.55%
B01938,CHINA INDUSTRIAL SECURITIES,5421350,1.03%,81.58%
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,5138237,0.97%,82.56%
B01161,UBS SECURITIES HONG KONG LTD,4872582,0.92%,83.48%
B01842,BOCOM INTERNATIONAL SECURITIES LTD,4580768,0.87%,84.35%
B01590,INTERACTIVE BROKERS HONG KONG LTD,4094085,0.77%,85.13%
B01727,ICBC (ASIA) SECURITIES LTD,4079259,0.77%,85.90%
B01454,HAO TIAN INTERNATIONAL SECURITIES LTD,3787920,0.71%,86.62%
C00042,CMB WING LUNG BANK LTD,3778092,0.71%,87.34%
B01963,TFI SECURITIES AND FUTURES LTD,3642700,0.69%,88.03%
C00003,THE BANK OF EAST ASIA LTD,3565725,0.67%,88.71%
C00002,BANK OF COMMUNICATIONS TRUSTEE LTD,3319021,0.63%,89.34%
B02142,TIGER BROKERS (HK) GLOBAL LTD,2792000,0.53%,89.87%
B01148,CHINA MERCHANTS SECURITIES (HK) CO LTD,2771905,0.52%,90.40%
B01565,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,2748285,0.52%,90.92%
B01510,ORIENTAL PATRON SECURITIES LTD,2531506,0.48%,91.40%
C00028,NANYANG COMMERCIAL BANK LTD,2425931,0.46%,91.86%
B01437,WINWIN SECURITIES LTD,2280610,0.43%,92.30%
B01890,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,2051950,0.38%,92.69%
B02032,FORTHRIGHT SECURITIES CO LTD,1979251,0.37%,93.06%
B01289,SOUTH CHINA SECURITIES LTD,1754650,0.33%,93.40%
C00010,CITIBANK N.A.,1693009,0.32%,93.72%
B01588,LEI SHING HONG SECURITIES LTD,1581335,0.30%,94.02%
B01584,CHIEF SECURITIES LTD,1286661,0.24%,94.26%
C00088,CHINA MERCHANTS BANK CO LTD,1123675,0.21%,94.48%
