ID,Name,ShareholdingDecimal,Percentage,CumulativePercentage
C00018,HANG SENG BANK LTD,95065530,13.75%,13.76%
C00019,THE HONGKONG AND SHANGHAI BANKING,39111360,5.66%,19.42%
C00010,CITIBANK N.A.,34688970,5.02%,24.44%
C00041,OCBC BANK (HONG KONG) LTD,13596202,1.96%,26.41%
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,12336389,1.78%,28.19%
B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,6373313,0.92%,29.11%
C00033,BANK OF CHINA (HONG KONG) LTD,5797345,0.83%,29.95%
B01552,CARRIER STOCK INVESTMENT CO LTD,5487950,0.79%,30.75%
C00042,CMB WING LUNG BANK LTD,5103068,0.73%,31.49%
B01590,INTERACTIVE BROKERS HONG KONG LTD,4094800,0.59%,32.08%
B01343,CELETIO INVESTMENTS LTD,3445800,0.49%,32.58%
B01353,UOB KAY HIAN (HONG KONG) LTD,2614000,0.37%,32.96%
B01373,CHRISTFUND SECURITIES LTD,2163000,0.31%,33.27%
B01161,UBS SECURITIES HONG KONG LTD,1752324,0.25%,33.52%
C00016,DBS BANK LTD,1553000,0.22%,33.75%
C00028,NANYANG COMMERCIAL BANK LTD,1269200,0.18%,33.93%
B01955,FUTU SECURITIES INTERNATIONAL,1061048,0.15%,34.08%
B01759,WINLAND WEALTH MANAGEMENT LTD,1039000,0.15%,34.24%
C00002,BANK OF COMMUNICATIONS TRUSTEE LTD,1028900,0.14%,34.38%
C00058,CHINA CITIC BANK INTERNATIONAL LTD,1025600,0.14%,34.53%
B01350,S. W. WOO & CO LTD,974720,0.14%,34.67%
B01284,HANG SENG SECURITIES LTD,902685,0.13%,34.80%
B01668,BRIGHT SMART SECURITIES INTERNATIONAL,871000,0.12%,34.93%
C00037,SHANGHAI COMMERCIAL BANK LTD,856996,0.12%,35.05%
C00015,DBS BANK (HONG KONG) LTD,770282,0.11%,35.17%
C00036,CHINA CONSTRUCTION BANK (ASIA),685000,0.09%,35.27%
B01673,FULBRIGHT SECURITIES LTD,621000,0.08%,35.35%
B01240,TSUN CHI YUEN SECURITIES CO LTD,576028,0.08%,35.44%
B01130,BOCI SECURITIES LTD,471382,0.06%,35.51%
C00003,THE BANK OF EAST ASIA LTD,458954,0.06%,35.57%
B01700,REALINK FINANCIAL TRADE LTD,454000,0.06%,35.64%
B01727,ICBC (ASIA) SECURITIES LTD,392000,0.05%,35.70%
B01695,DAH SING SECURITIES LTD,388940,0.05%,35.75%
B01183,CHONG HING SECURITIES LTD,348000,0.05%,35.80%
B01328,BAN HIN SECURITIES CO LTD,292200,0.04%,35.84%
B01345,PHILLIP SECURITIES (HONG KONG) LTD,290008,0.04%,35.89%
B01497,SINOPAC SECURITIES (ASIA) LTD,272501,0.03%,35.93%
B01118,EAST ASIA SECURITIES CO LTD,272200,0.03%,35.97%
C00093,BNP PARIBAS,262146,0.03%,36.00%
B01576,SIU ON SECURITIES LTD,260000,0.03%,36.04%
B01584,CHIEF SECURITIES LTD,235429,0.03%,36.07%
C00074,DEUTSCHE BANK AG,198000,0.02%,36.10%
B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,177479,0.02%,36.13%
B01143,HAITONG INTERNATIONAL SECURITIES CO LTD,177250,0.02%,36.15%
B01826,GF SECURITIES (HONG KONG) BROKERAGE LTD,168000,0.02%,36.18%
B01649,CINDA INTERNATIONAL SECURITIES LTD,167000,0.02%,36.20%
B01238,TAI YIP STOCK CO LTD,164000,0.02%,36.23%
B01198,PO KAY SECURITIES & SHARES CO LTD,147000,0.02%,36.25%
B01089,HSBC BROKING SECURITIES (HONG KONG) LTD,142000,0.02%,36.27%
C00040,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,136000,0.01%,36.29%
B01645,SELINA & CO LTD,129000,0.01%,36.31%
B01224,MERRILL LYNCH FAR EAST LTD,120360,0.01%,36.32%
B01252,CORPORATE BROKERS LTD,115000,0.01%,36.34%
B01787,SOO PUI CHEN SECURITIES LTD,114520,0.01%,36.36%
B01947,FUBON SECURITIES (HONG KONG) LTD,112000,0.01%,36.37%
B01842,BOCOM INTERNATIONAL SECURITIES LTD,103800,0.01%,36.39%
B01086,EVERBRIGHT SECURITIES INVESTMENT,101800,0.01%,36.40%
B01610,KGI ASIA LTD,100150,0.01%,36.42%
B01253,STOCKWELL SECURITIES LTD,94000,0.01%,36.43%
B01450,DL BROKERAGE LTD,87000,0.01%,36.44%
B01228,CITIC SECURITIES BROKERAGE (HK) LTD,86000,0.01%,36.46%
B01556,LUK FOOK SECURITIES (HK) LTD,75000,0.01%,36.47%
B01904,VALUABLE CAPITAL LTD,67000,0.00%,36.48%
B01413,CORE PACIFIC - YAMAICHI INTERNATIONAL,65000,0.00%,36.49%
B01565,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,63000,0.00%,36.50%
B01184,QUAM SECURITIES LTD,62000,0.00%,36.50%
B01957,PINESTONE SECURITIES LTD,61000,0.00%,36.51%
B02128,SILVERBRICKS SECURITIES CO LTD,60000,0.00%,36.52%
B01567,PRIME SECURITIES LTD,53680,0.00%,36.53%
B01209,MASON SECURITIES LTD,53000,0.00%,36.54%
