Date,Top1,Top5,Top10,Top10NCIP,StakeInCCASS
20260702,26.46,59.24,77.32,77.74,61.10
20260630,26.45,59.20,77.32,77.74,61.10
20260629,26.46,59.23,77.38,77.81,61.10
20260626,26.44,59.21,77.39,77.81,61.10
