ID,Name,ShareholdingDecimal,Percentage,CumulativePercentage
C00028,NANYANG COMMERCIAL BANK LTD,18887000,7.72%,7.73%
B01130,BOCI SECURITIES LTD,8456433,3.46%,11.19%
C00018,HANG SENG BANK LTD,6402145,2.62%,13.81%
C00019,THE HONGKONG AND SHANGHAI BANKING,6187771,2.53%,16.34%
B01289,SOUTH CHINA SECURITIES LTD,5190000,2.12%,18.47%
,TONG WUN LING *,4900000,2.00%,20.47%
C00010,CITIBANK N.A.,4636133,1.89%,22.37%
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,3223446,1.31%,23.69%
B01161,UBS SECURITIES HONG KONG LTD,3193000,1.30%,25.00%
C00033,BANK OF CHINA (HONG KONG) LTD,3036167,1.24%,26.24%
B01590,INTERACTIVE BROKERS HONG KONG LTD,2643000,1.08%,27.32%
C00048,CHIYU BANKING CORPORATION LTD,1148000,0.46%,27.79%
B01345,PHILLIP SECURITIES (HONG KONG) LTD,857000,0.35%,28.14%
B01955,FUTU SECURITIES INTERNATIONAL,776350,0.31%,28.46%
B01939,SOOCHOW SECURITIES INTERNATIONAL,638000,0.26%,28.72%
B01118,EAST ASIA SECURITIES CO LTD,612000,0.25%,28.97%
B01298,GET NICE SECURITIES LTD,590000,0.24%,29.21%
B01183,CHONG HING SECURITIES LTD,562000,0.23%,29.44%
B01086,EVERBRIGHT SECURITIES INVESTMENT,531083,0.21%,29.66%
C00074,DEUTSCHE BANK AG,470000,0.19%,29.85%
B01169,PUBLIC FINANCIAL SECURITIES LTD,448000,0.18%,30.04%
B01089,HSBC BROKING SECURITIES (HONG KONG) LTD,426000,0.17%,30.21%
C00041,OCBC BANK (HONG KONG) LTD,406013,0.16%,30.38%
B01228,CITIC SECURITIES BROKERAGE (HK) LTD,390000,0.15%,30.54%
B01148,CHINA MERCHANTS SECURITIES (HK) CO LTD,382000,0.15%,30.69%
B01264,MIB SECURITIES (HONG KONG) LTD,350000,0.14%,30.84%
C00037,SHANGHAI COMMERCIAL BANK LTD,312000,0.12%,30.96%
B01284,HANG SENG SECURITIES LTD,296652,0.12%,31.08%
C00042,CMB WING LUNG BANK LTD,296083,0.12%,31.21%
B01584,CHIEF SECURITIES LTD,270000,0.11%,31.32%
B01668,BRIGHT SMART SECURITIES INTERNATIONAL,246000,0.10%,31.42%
C00002,BANK OF COMMUNICATIONS TRUSTEE LTD,238073,0.09%,31.51%
B01224,MERRILL LYNCH FAR EAST LTD,223555,0.09%,31.61%
B01119,CELESTIAL SECURITIES LTD,220000,0.09%,31.70%
B01773,TOYO SECURITIES ASIA LTD,204111,0.08%,31.78%
B01727,ICBC (ASIA) SECURITIES LTD,202335,0.08%,31.86%
B01788,SUNRISE SECURITIES LTD,200000,0.08%,31.94%
C00015,DBS BANK (HONG KONG) LTD,170000,0.06%,32.01%
B02138,TIGER FAITH SECURITIES LTD,158000,0.06%,32.08%
B01413,CORE PACIFIC - YAMAICHI INTERNATIONAL,146000,0.05%,32.14%
B01459,IFAST SECURITIES (HK) LTD,146000,0.05%,32.20%
B01615,KAM FAI SECURITIES CO LTD,140000,0.05%,32.26%
B01700,REALINK FINANCIAL TRADE LTD,136000,0.05%,32.31%
B01272,FB SECURITIES (HONG KONG) LTD,134000,0.05%,32.37%
B01610,KGI ASIA LTD,127000,0.05%,32.42%
B01373,CHRISTFUND SECURITIES LTD,120000,0.04%,32.47%
B01353,UOB KAY HIAN (HONG KONG) LTD,116000,0.04%,32.51%
B01143,HAITONG INTERNATIONAL SECURITIES CO LTD,110000,0.04%,32.56%
C00036,CHINA CONSTRUCTION BANK (ASIA),108000,0.04%,32.60%
B01947,FUBON SECURITIES (HONG KONG) LTD,97762,0.04%,32.64%
B01695,DAH SING SECURITIES LTD,92000,0.03%,32.68%
B01905,SDIC SECURITIES (HONG KONG) LTD,84000,0.03%,32.72%
B01450,DL BROKERAGE LTD,80000,0.03%,32.75%
B01433,HING WAI ALLIED SECURITIES LTD,72000,0.02%,32.78%
B01673,FULBRIGHT SECURITIES LTD,72000,0.02%,32.81%
B01762,DBS VICKERS (HONG KONG) LTD,64000,0.02%,32.83%
B01564,ABCI SECURITIES CO LTD,62000,0.02%,32.86%
B01649,CINDA INTERNATIONAL SECURITIES LTD,60000,0.02%,32.88%
B01705,HENIK SECURITIES LTD,58000,0.02%,32.91%
B01324,FUNDERSTONE SECURITIES LTD,54097,0.02%,32.93%
B01514,KARL-THOMSON SECURITIES CO LTD,50000,0.02%,32.95%
B01540,UPBEST SECURITIES CO LTD,50000,0.02%,32.97%
B01664,ROOFER SECURITIES LTD,50000,0.02%,32.99%
C00058,CHINA CITIC BANK INTERNATIONAL LTD,50000,0.02%,33.01%
B01581,KINGSWAY FINANCIAL SERVICES GROUP LTD,44000,0.01%,33.03%
C00093,BNP PARIBAS,44000,0.01%,33.05%
B01724,RAMON INVESTMENT CO LTD,40000,0.01%,33.06%
B01115,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,38000,0.01%,33.08%
B01842,BOCOM INTERNATIONAL SECURITIES LTD,32000,0.01%,33.09%
B01940,SOFI SECURITIES (HONG KONG) LTD,32000,0.01%,33.11%
B01623,TAI FUNG KUENTAI SECURITIES CO LTD,30000,0.01%,33.12%
B01849,CIS SECURITIES ASSET MANAGEMENT LTD,30000,0.01%,33.13%
B01777,DAIWA CAPITAL MARKETS HONG KONG LTD,28000,0.01%,33.14%
C00003,THE BANK OF EAST ASIA LTD,27586,0.01%,33.15%
B01497,SINOPAC SECURITIES (ASIA) LTD,25000,0.01%,33.16%
B01425,WELLFULL SECURITIES CO LTD,24000,0.00%,33.17%
B02132,BOOM SECURITIES (H.K.) LTD,24000,0.00%,33.18%
B01556,LUK FOOK SECURITIES (HK) LTD,20000,0.00%,33.19%
B01809,CHINA SYSTEM SECURITIES LTD,20000,0.00%,33.20%
B01252,CORPORATE BROKERS LTD,18000,0.00%,33.21%
B01275,SANFULL SECURITIES LTD,16000,0.00%,33.21%
B01814,WELL LINK SECURITIES LTD,16000,0.00%,33.22%
B01340,LEHIN SECURITIES LTD,14523,0.00%,33.23%
B01904,VALUABLE CAPITAL LTD,14000,0.00%,33.23%
C00040,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,14000,0.00%,33.24%
B01338,EMPEROR SECURITIES LTD,12000,0.00%,33.24%
B01374,PO LEE SECURITIES LTD,12000,0.00%,33.25%
B02195,LONG BRIDGE HK LTD,12000,0.00%,33.25%
B01080,VMS SECURITIES LTD,10000,0.00%,33.26%
B01423,PRUDENTIAL BROKERAGE LTD,10000,0.00%,33.26%
B01458,YICKO SECURITIES LTD,10000,0.00%,33.26%
B01567,PRIME SECURITIES LTD,10000,0.00%,33.27%
B01585,SINO GRADE SECURITIES LTD,10000,0.00%,33.27%
B01843,TELECOM KING SECURITIES LTD,10000,0.00%,33.28%
B01929,CHINA GALAXY INTERNATIONAL SECURITIES,10000,0.00%,33.28%
