ID,Name,ShareholdingDecimal,Percentage,CumulativePercentage
B01762,DBS VICKERS (HONG KONG) LTD,746976117,20.98%,20.99%
C00019,THE HONGKONG AND SHANGHAI BANKING,520644357,14.62%,35.61%
B01161,UBS SECURITIES HONG KONG LTD,393426327,11.05%,46.67%
A00003,CHINA SECURITIES DEPOSITORY AND CLEARING,363781010,10.22%,56.89%
A00004,CHINA SECURITIES DEPOSITORY AND CLEARING,265630116,7.46%,64.35%
B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,135559010,3.80%,68.16%
B01955,FUTU SECURITIES INTERNATIONAL,68805787,1.93%,70.09%
C00018,HANG SENG BANK LTD,65188168,1.83%,71.92%
B01654,CHINA INTERNATIONAL CAPITAL CORPORATION,52901604,1.48%,73.41%
C00010,CITIBANK N.A.,52351030,1.47%,74.88%
B01130,BOCI SECURITIES LTD,36422839,1.02%,75.90%
B01590,INTERACTIVE BROKERS HONG KONG LTD,29655521,0.83%,76.74%
B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,26575368,0.74%,77.48%
C00033,BANK OF CHINA (HONG KONG) LTD,22290501,0.62%,78.11%
B01905,SDIC SECURITIES (HONG KONG) LTD,19482750,0.54%,78.66%
C00093,BNP PARIBAS,17184100,0.48%,79.14%
B01832,MIZUHO SECURITIES ASIA LTD,12000000,0.33%,79.48%
B01565,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,10079050,0.28%,79.76%
B01256,SINOLINK SECURITIES (HONG KONG) CO LTD,8120000,0.22%,79.99%
B01148,CHINA MERCHANTS SECURITIES (HK) CO LTD,7447128,0.20%,80.20%
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,7350929,0.20%,80.40%
C00016,DBS BANK LTD,5155289,0.14%,80.55%
B01939,SOOCHOW SECURITIES INTERNATIONAL,4883000,0.13%,80.69%
B01668,BRIGHT SMART SECURITIES INTERNATIONAL,4272812,0.12%,80.81%
C00042,CMB WING LUNG BANK LTD,3975570,0.11%,80.92%
B01901,CMB INTERNATIONAL SECURITIES LTD,3785751,0.10%,81.02%
B01224,MERRILL LYNCH FAR EAST LTD,3579167,0.10%,81.12%
B01284,HANG SENG SECURITIES LTD,3351608,0.09%,81.22%
B01497,SINOPAC SECURITIES (ASIA) LTD,3209345,0.09%,81.31%
B01727,ICBC (ASIA) SECURITIES LTD,3201548,0.08%,81.40%
C00003,THE BANK OF EAST ASIA LTD,2932092,0.08%,81.48%
