Date,Top1,Top5,Top10,Top10NCIP,StakeInCCASS
20260702,42.82,67.85,79.89,80.08,57.12
20260630,42.89,67.88,79.90,80.09,57.12
20260629,42.96,67.89,79.88,80.07,57.11
20260626,42.92,67.87,79.85,80.04,57.11
